MR32 ASCII
Name	Post fatigue 
Frequency	1500
Date	22-05-2023 12:05:53
"Time,s"	"RT RECTUS FEM.,uV"	"RT BICEPS FEM.,uV"	"RT LAT. GASTRO,uV"	"LT RECTUS FEM.,uV"	"LT TIB.ANT.,uV"	"LT BICEPS FEM.,uV"	"LT LAT. GASTRO,uV"	"RT TIB.ANT.,uV"
0.0873	-6.79003	-10.5418	-32.0143	-1.69144	-6.79032	-0.395876	-11.5949	0.270891
0.0880	-6.17772	0.428528	-29.2753	-1.38537	-10.4555	-0.0865979	-6.74476	-0.948119
0.0887	-6.17772	26.683	-13.4253	-1.38537	-11.0729	-1.31134	-5.1533	2.70891
0.0893	-7.39844	55.3658	3.99617	-0.472529	-7.09897	-1.31134	-4.54703	10.339
0.0900	-7.70265	73.364	6.42081	0.139611	-5.88366	-0.395876	-3.94076	13.3941
0.0907	-5.2612	81.906	-1.52663	-1.0793	-8.31428	-2.2268	-5.45644	9.72199
0.0913	-4.34858	73.0783	-8.21684	-1.0793	-7.71627	-3.14227	-6.36584	6.06495
0.0920	-4.957	46.5096	-12.7967	0.75175	-4.95771	-1.00206	-7.9573	5.14693
0.0927	-4.34858	21.4835	-19.8461	-0.472529	-4.64905	0.519587	-10.9887	3.62693
0.0933	-2.51555	7.77064	-25.6383	-2.60965	-6.17302	-1.00206	-13.1106	0.571882
0.0940	0.53431	0.428528	-12.7967	-2.30358	-6.17302	-2.83299	-10.3824	0.872872
0.0947	1.75503	-1.0856	22.2708	-1.69144	-5.26636	-3.14227	-2.72822	6.98297
0.0953	-0.378307	8.05632	52.8033	-2.60965	-5.57501	-2.53608	2.42508	10.956
0.0960	-0.0741014	19.3695	55.5423	-3.21642	-5.88366	-2.2268	0.303135	8.50298
0.0967	1.45083	17.2268	35.1124	-3.52249	-5.88366	-1.62062	-3.03135	3.62693
0.0973	0.230104	6.54219	13.7396	-2.60965	-4.05104	-1.31134	-3.94076	1.18891
0.0980	-0.990619	3.17111	5.52279	-0.472529	-2.21843	-1.62062	-4.85017	1.4899
0.0987	0.53431	4.39955	1.84093	-0.472529	0.231488	-1.31134	-2.72822	5.14693
0.0993	0.230104	2.57117	-2.42464	-0.472529	4.18608	-0.395876	-0.606271	6.98297
0.1000	-0.686413	6.85645	-0.898015	1.05245	6.63599	-1.00206	-2.42508	4.22891
0.1007	1.14662	16.9126	0.942916	0.44568	3.27942	-2.53608	-1.51568	2.70891
0.1013	3.28386	15.9984	-4.57988	-0.778598	1.4468	-2.2268	1.51568	6.98297
0.1020	4.50459	5.31375	-5.47789	1.05245	3.89672	-1.00206	4.92595	11.558
0.1027	4.19648	-0.77135	-1.84093	1.97066	3.89672	-1.31134	12.8075	11.558
0.1033	2.97576	-2.6283	-10.0578	-0.472529	2.35346	0.210309	13.4137	7.901
0.1040	2.97576	-5.97082	-26.5364	-0.778598	4.49473	2.35051	0.909406	2.40792
0.1047	4.50459	-7.79921	-35.6961	-0.778598	5.11203	1.12577	0.303135	-4.00317
0.1053	4.80879	-6.88501	-35.6961	-1.69144	1.13815	-0.705154	8.26044	-9.49624
0.1060	4.80879	-10.2561	-21.9565	0.44568	1.13815	1.12577	-0.303135	-12.2503
0.1067	4.80879	-20.6265	0.314305	0.75175	4.49473	3.26598	-6.36584	-14.3873
0.1073	3.89228	-28.5685	9.47406	-2.60965	3.58807	2.9567	2.12195	-17.7434
0.1080	4.19648	-30.3969	8.26174	-3.52249	2.35346	1.43505	-2.12195	-13.7703
0.1087	6.63793	-32.511	15.5806	-3.52249	3.27942	0.519587	-12.2012	-2.16713
0.1093	6.33372	-34.6536	21.6871	-4.44069	2.35346	1.74433	-4.85017	0.571882
0.1100	4.19648	-33.1395	12.5273	-2.91035	0.231488	2.35051	-2.12195	-10.4143
0.1107	5.113	-28.8542	-3.63696	-3.52249	1.4468	0.519587	-13.7169	-17.7434
0.1113	6.02952	-22.4549	-14.6377	-5.6596	1.4468	-1.00206	-18.6428	-12.5513
0.1120	4.80879	-16.0555	-11.8987	-3.21642	-3.43374	-0.395876	-13.1106	-6.1402
0.1127	4.80879	-6.88501	6.73512	0.44568	-8.62294	0.519587	-2.42508	2.40792
0.1133	4.19648	16.3126	20.7442	-1.38537	-9.83825	1.74433	9.47298	15.8321
0.1140	2.06314	39.796	14.3682	-3.52249	-5.88366	4.49072	9.47298	17.9691
0.1147	1.45083	39.5103	3.99617	-2.30358	-1.60113	5.40618	2.72822	6.98297
0.1153	2.06314	25.4546	6.42081	0.139611	-2.52708	2.9567	-2.42508	3.32594
0.1160	1.14662	18.7409	16.4786	1.35852	-5.88366	0.828866	-21.371	7.6
0.1167	-0.686413	13.2558	23.2137	-1.38537	-6.79032	2.35051	-45.1672	11.257
0.1173	-1.29483	3.17111	20.1604	-3.82855	-10.4555	4.18144	-39.6349	17.0511
0.1180	-1.29483	-3.22824	8.57605	-0.778598	-18.384	3.26598	-14.02	20.4071
0.1187	-0.686413	-5.97082	-5.47789	1.97066	-19.6186	2.04124	1.51568	14.3121
0.1193	-1.59903	-7.48495	-14.3233	-1.0793	-13.5035	2.35051	7.9573	7.6
0.1200	-4.34858	-7.19927	-9.42916	-0.778598	-7.40762	1.43505	10.0793	5.14693
0.1207	-4.04048	-8.7134	1.84093	2.8835	-3.43374	-1.31134	5.22908	2.40792
0.1213	-0.686413	-10.856	-0.58371	1.66459	-3.74239	-3.14227	3.33449	1.18891
0.1220	-0.686413	-11.456	-8.21684	-2.60965	-4.95771	-2.2268	5.22908	4.54495
0.1227	-1.59903	-10.5418	5.52279	-2.60965	-1.29248	-1.62062	-4.2439	6.98297
0.1233	0.230104	-7.79921	26.267	-1.69144	1.75545	-2.53608	-17.0514	7.901
0.1240	-0.686413	-5.97082	26.5813	-2.91035	-2.81644	-1.31134	-14.02	10.64
0.1247	-3.43207	-6.57076	17.6909	-1.69144	-8.31428	1.43505	-1.51568	11.558
0.1253	-1.90714	-7.19927	14.0539	1.97066	-8.93159	1.43505	4.2439	7.6
0.1260	0.230104	-7.79921	7.31883	-0.472529	-8.31428	-1.31134	5.83536	5.14693
0.1267	-2.21134	-11.456	-2.11034	-4.74139	-4.95771	-2.2268	9.77612	6.06495
0.1273	-5.56931	-13.5986	-10.0578	-1.99751	-0.385814	-0.395876	15.2326	5.14693
0.1280	-3.73627	-11.456	-19.2175	2.27673	-1.00312	-0.395876	18.6428	1.18891
0.1287	1.75503	-12.9987	-24.6954	0.139611	-2.21843	-1.62062	14.3231	-3.70218
0.1293	2.97576	-19.7123	-22.5851	-2.60965	2.0641	-1.91753	7.65417	-8.57822
0.1300	-0.378307	-24.2832	-18.5889	-1.0793	6.94465	-1.62062	4.2439	-10.4143
0.1307	-0.378307	-25.1974	-15.5357	-1.69144	7.2533	-1.91753	-1.21254	-10.4143
0.1313	3.89228	-27.3401	-8.21684	-3.52249	6.01869	-1.31134	-7.9573	-12.2503
0.1320	3.89228	-32.2253	-0.314305	-1.69144	6.01869	0.828866	-5.45644	-13.4693
0.1327	0.53431	-34.3679	3.68186	0.139611	9.37527	1.43505	-0.303135	-11.0162
0.1333	1.14662	-30.9968	4.89418	-2.60965	16.7057	0.519587	-2.12195	-11.3323
0.1340	2.67155	-26.4259	-0.898015	-5.35353	20.371	0.519587	-6.36584	-14.9893
0.1347	0.842416	-23.0548	-14.009	-2.91035	17.921	0.828866	-11.2918	-14.0713
0.1353	0.53431	-18.4838	-20.1155	0.139611	17.6124	-0.0865979	-12.8075	-11.3323
0.1360	2.06314	-14.5128	-17.3766	-1.99751	20.969	-0.705154	-8.86671	-13.7703
0.1367	0.53431	-12.9987	-13.7396	-5.04746	19.1556	-0.395876	-7.0479	-16.5093
0.1373	-0.990619	-8.7134	-8.21684	-1.99751	12.4425	0.519587	-3.94076	-13.7703
0.1380	0.53431	-0.485665	1.52663	1.05245	8.15996	1.43505	5.53222	-8.87921
0.1387	-0.0741014	3.17111	4.89418	-2.60965	6.01869	0.210309	4.2439	-5.83921
0.1393	-1.59903	-1.39986	5.52279	-4.74139	3.89672	-2.2268	-9.16984	-4.92119
0.1400	1.14662	-8.7134	12.5273	-2.60965	0.540139	-3.14227	-13.4137	-5.52317
0.1407	3.28386	-13.9129	13.4253	-1.69144	-2.81644	-2.83299	-10.9887	-7.6602
0.1413	1.14662	-13.9129	-1.21232	-2.30358	-3.12509	-3.74845	-12.2012	-10.4143
0.1420	1.45083	-9.62759	-15.5357	-2.60965	-0.0771627	-4.66392	-13.1106	-10.4143
0.1427	2.97576	-7.79921	-16.4786	-3.52249	-0.0771627	-3.74845	-19.2491	-5.83921
0.1433	0.53431	-8.11346	-11.8987	-4.13462	-2.52708	-2.83299	-26.2212	-0.647129
0.1440	-0.378307	-6.28507	-14.009	-1.99751	-1.90978	-3.14227	-14.9294	-0.647129
0.1447	0.842416	-5.05663	-22.8994	-0.166459	-2.21843	-4.36701	1.51568	-4.00317
0.1453	-0.0741014	-6.28507	-28.063	-0.472529	-8.62294	-4.97319	0.909406	-7.05822
0.1460	0.230104	-7.48495	-24.6954	-1.0793	-13.5035	-5.28247	0.606271	-10.4143
0.1467	2.97576	-7.48495	-21.9565	-0.472529	-13.5035	-5.28247	6.13849	-9.19525
0.1473	3.58807	-6.88501	-26.5364	0.44568	-11.9795	-5.88866	0.606271	4.54495
0.1480	-0.0741014	-6.28507	-24.6954	0.44568	-9.24024	-5.28247	-10.3824	18.2701
0.1487	-3.43207	-11.1703	-5.47789	-0.778598	-3.74239	-3.74845	-17.0514	17.9691
0.1493	-4.34858	-17.8839	9.47406	-1.69144	-2.81644	-2.53608	-18.3397	15.2151
0.1500	-3.43207	-18.7981	3.68186	-0.778598	-9.5296	-3.45155	-5.75957	17.0511
0.1507	-4.04048	-16.6554	4.57988	0.44568	-10.7642	-3.74845	14.3231	9.72199
0.1513	-5.87351	-14.5128	31.1611	1.66459	-2.52708	-3.14227	22.5836	-2.16713
0.1520	-4.65279	-12.0845	51.2767	2.27673	-0.385814	-4.36701	21.6742	-2.16713
0.1527	-3.12786	-10.856	51.2767	-0.778598	-5.57501	-4.05773	20.1585	7.901
0.1533	-5.56931	-6.88501	61.065	-2.60965	-0.694465	-1.00206	12.2012	11.558
0.1540	-5.2612	0.428528	71.4371	-0.166459	8.15996	-1.62062	0.606271	0.872872
0.1547	-0.686413	0.742782	49.4357	1.05245	5.11203	-4.05773	-6.74476	-19.5644
0.1553	0.230104	-2.31405	13.7396	-1.99751	-1.00312	-1.31134	-9.77612	-32.3866
0.1560	0.230104	3.79961	-1.84093	-1.99751	-0.0771627	0.210309	-6.74476	-28.7295
0.1567	2.06314	8.68483	-2.73895	0.75175	-2.21843	-1.00206	3.94076	-22.6194
0.1573	0.230104	2.25691	2.73895	0.75175	-3.43374	-0.395876	9.16984	-21.4004
0.1580	-0.990619	-3.22824	9.15976	1.35852	7.85131	-0.395876	3.33449	-16.8254
0.1587	2.06314	-2.31405	4.26557	4.71455	15.1818	-1.62062	0.303135	-9.79723
0.1593	1.45083	-3.22824	-0.898015	3.80171	-3.12509	-1.31134	8.56357	-4.30416
0.1600	-2.21134	-3.22824	10.6864	1.05245	-28.7624	-2.83299	14.3231	3.0099
0.1607	-1.90714	1.05704	17.6909	1.97066	-34.5689	-4.36701	8.86671	7.6
0.1613	-1.59903	0.428528	7.31883	2.27673	-22.3579	-2.2268	2.72822	3.32594
0.1620	-3.43207	-4.14244	-0.898015	-0.778598	-8.93159	-1.00206	4.54703	-2.16713
0.1627	-3.43207	-3.82818	-2.73895	-1.69144	-3.74239	-1.91753	8.56357	-2.16713
0.1633	-3.12786	-0.77135	-8.84545	0.139611	-6.48167	-0.395876	10.6855	-4.6202
0.1640	-3.43207	-1.39986	-13.7396	0.139611	-8.00563	-0.395876	10.9887	-13.1533
0.1647	-3.43207	-5.05663	-11.2701	-1.0793	-1.00312	-1.31134	7.9573	-19.5644
0.1653	-3.12786	-7.48495	-2.73895	1.05245	7.54266	1.12577	3.94076	-20.1814
0.1660	-2.51555	-8.7134	11.0007	2.8835	7.85131	1.43505	2.42508	-17.1263
0.1667	-2.51555	-10.5418	21.0585	1.35852	5.71004	-1.31134	2.42508	-11.6333
0.1673	-4.34858	-11.456	16.1643	0.139611	8.15996	-1.62062	3.63762	-7.97624
0.1680	-4.04048	-11.456	4.57988	1.66459	12.1338	-1.62062	4.2439	-11.3323
0.1687	-1.59903	-9.62759	-3.36756	1.35852	12.4425	-3.14227	3.94076	-16.2083
0.1693	-1.59903	-6.57076	-6.69022	-0.166459	6.01869	-1.91753	4.92595	-13.1533
0.1700	-3.12786	-3.82818	-5.16359	1.05245	-3.74239	0.210309	5.53222	-6.1402
0.1707	-1.90714	-1.0856	-2.42464	3.18957	-8.00563	-0.705154	5.22908	-3.38614
0.1713	0.230104	2.25691	-2.73895	3.80171	-3.43374	-0.705154	5.22908	-3.08515
0.1720	1.75503	3.79961	-1.21232	2.8835	3.27942	0.828866	1.81881	-1.26416
0.1727	2.97576	1.65697	1.84093	1.35852	3.27942	1.43505	-3.03135	2.70891
0.1733	2.36735	0.428528	1.84093	1.97066	-0.385814	0.519587	-2.72822	6.98297
0.1740	1.14662	-0.485665	3.05325	3.80171	-0.0771627	1.43505	-0.606271	8.50298
0.1747	1.14662	-1.71411	7.31883	2.8835	2.66211	2.35051	-1.21254	3.0099
0.1753	1.45083	-1.0856	3.68186	0.75175	-1.29248	1.43505	-0.303135	-3.70218
0.1760	1.14662	1.34272	-7.31883	1.66459	-6.17302	0.519587	4.2439	-4.92119
0.1767	2.36735	2.57117	-9.15976	2.27673	-2.52708	0.519587	5.22908	-4.6202
0.1773	4.50459	2.25691	3.99617	1.66459	-0.0771627	0.519587	1.51568	-2.48317
0.1780	5.41721	0.142843	20.1604	2.5828	-4.05104	1.43505	-0.303135	3.0099
0.1787	6.02952	-0.485665	25.0546	0.75175	-3.74239	2.65979	-0.303135	5.76396
0.1793	5.113	0.742782	15.5806	-2.60965	3.27942	1.43505	-2.42508	5.14693
0.1800	3.58807	0.428528	4.26557	-0.778598	5.71004	-1.31134	-3.94076	10.339
0.1807	3.58807	0.742782	1.21232	3.18957	2.66211	-2.2268	-2.72822	18.2701
0.1813	3.89228	4.39955	0	2.27673	1.4468	-1.31134	-2.72822	21.3252
